Answers,Labels
@AmericanAir Unfortunately that is not true. A robot apologizes and hangs up. So how do I get help?,negative
"@AmericanAir Thanks for the reply, but a functioning plane four hours ago was the only way to do that. The staff was friendly, tho.",positive
Thank you for sending more details  @AmericanAir: They're pretty handy dandy. more info here: http://t.co/FvlxIRh1F1 #LookforwardtoflywithAA,positive
@AmericanAir aa223 being ignored,negative
"@AmericanAir FYI twice now I've tried the ""we'll call you when someone is free"" thing. Both times it called, I picked up, then it hung up.",negative
@AmericanAir that's the number I called -it wouldn't let me speak to an agent because of the issues with weather today,negative
@AmericanAir usually raving about the service to LAX. Your nbr1 and helper can't figure out how to hang a coat and serve a drink. 6F,negative
"@AmericanAir @MO3TVida just so you know, reservations team has a 2+ hr callback time",negative
@AmericanAir what do kids aged 11 and 12 need to fly with AA internally within the usa. Thanks for confirming,neutral
@AmericanAir absolute terrible service to schedule a 40 minute layover and then not let someone on the plane with the door not closed.,negative
"@AmericanAir I didn't miss my flight.  American Airlines gave my ticket, as well as 6 other passengers tickets away. Not my fault.",negative
@AmericanAir Please help AA 2258 Monday Cancelled Flightled.  Can you advise on reFlight Booking Problems / refund.  Have children and need to make plans now,neutral
@AmericanAir DM sent. Answer me please,neutral
"@AmericanAir I really want to get home. Tonight, preferably. Please stop delaying my plane 😢😕😦 #AmericanAirlines",negative
@AmericanAir is profiting in the billions and throwing crap at the people who put them there. American is a hurting brand,negative
@AmericanAir I've never witnessed such covert tactics from an airline.,negative
@AmericanAir you Cancelled Flightled my wife's flight and she has to call but your service won't even let us. Going on 7 hours now.,negative
@AmericanAir it shouldn't happen but did and has put us and our gear in jeopardy. What steps do you take to protect customers if their items,negative
@AmericanAir American Airlines.,neutral
@AmericanAir all of these issues are not based on weather or things that are out of your control. These  issues are based on negligence.,negative
@AmericanAir the worst air experience I have ever had and I am not in the first plane yet.,negative
@AmericanAir I just DMed you,neutral
@AmericanAir why is it most first class passengers now request the sand which from coach ?,neutral
@AmericanAir @DAI_President Good luck at DFW this evening AA!,positive
@AmericanAir so we have a Cancelled Flightled flight in about twelve hours. Maybe we'll have heard from an AA rep at that point.,negative
"@AmericanAir on hold for 3 hours...got an agent, immediately txfd me to change cncdld flight...told it would be 1 min, 80 min Late Flightr, waiting",negative
@AmericanAir Awesome customer service on #390 from rdu. They snuck my wife a warm cookie. Thx!,positive
@AmericanAir flight attendants on AA2402 were spectacular.Fed the ENTIRE cabin then food from coach. Why do you keep serving this vile food,negative
"@AmericanAir @CineDrones I just wish that a team member would pick up the phone at this point, let alone be courteous or helpful 😳",negative
"@americanair seriously, pls pls bring more people up to help us! There are still flights to ORD frm DFW and I want in http://t.co/o3CjsVSsqF",negative
@AmericanAir @carlw1980 I have followed and dm'd you. . . Please respond to my concern too. Really disappointed with customer service.,negative
"@AmericanAir  To add, I have to get up to go to work tomorrow am.  I don't like having to wait up until 12 or Late Flightr.  CS sucks.",negative
"@AmericanAir just when I thought you guys were done messing up, you make it worse. Your airline ruins hopes and dreams.",negative
@AmericanAir Flight 1512 (N924AN) departs @FlyTPA enroute to @dfwairport http://t.co/j0mhMkDiVl,neutral
@AmericanAir approaching three hours sitting in the plane on the ground at DFW on #AmericanAirlines flight 3056 - Oscar performance,negative
"@AmericanAir - We have; they were useless. Baggage service called before 9 to tell us we would have bags by 3. Now, maybe midnight.",negative
@AmericanAir checking into a flight on your website is about as easy as asking a bear to shit in a toilet #justsaying,neutral
@AmericanAir makes some small improvements and retains their program they win all. They keep the crappy food and change advantage they lose,negative
@AmericanAir AA 2258 why have you Cancelled Flightled our flight without courtesy of notifying us or alternatives?  Very poor.,negative
@AmericanAir how have you not loaded our luggage on the plane and were OVER an hour delayed? #Flight293,negative
@AmericanAir I spent $600 on my flight. Could have gone on @united for $382 but their mileage program sucks.,negative
"@americanair Plz bring more agents up to DFW AA Cstmr srvc ctr gates A, there are only 2 agents and 100+ ppl... http://t.co/uCvEU2hurZ",negative
@AmericanAir the food served on AA2402 was vile and gross.The entire cabin did not eat their meal. Survey the flight crew. Another gross out,negative
@AmericanAir the bags arent even loaded on the plane??? #Flight293,negative
@AmericanAir never got an update and we had the worst communication from u. Our flight delay was mechanical and not a word. #poorservice,negative
"@AmericanAir looks like I have. Best I can hope for I guess. It's on us air, so I don't think I'll get miles on Alaska. Which sucks.",negative
@AmericanAir my #Navy sisters flight 2470 cancld. She can't get an agent. They've called her back to be put on hold &amp; then discnct.Any help?,negative
@AmericanAir My wife &amp; infant daughter are on AA3195 ABI-DFW. En route but delayed. Can y’all hold AA1458 to RDU so they can connect?,negative
@AmericanAir Educate Bohol is a 501(c)(3) w/all volunteer staff. I can help the kids or buy a plane ticket--I can't do both. Can you help?,neutral
@americanair anxious to see how you all care for customers you’ve inconvenienced #Cancelled Flightledflight,negative
"@AmericanAir also the problem is not calling us at all. Other airlines send an automatic call and email, and they rebook as a courtesy.",negative
"@AmericanAir Why can't you handle your customers needs? Cancelled Flightled flight, 800 number leads to a quick ""Goodbye"" Very Sad!",negative
@AmericanAir VERY upset that I cannot select seats for Tuesday flight online or over the phone. Terrible customer service :( Please help!,negative
"@AmericanAir I need to get from Albuquerque, NM, USA, to Cebu, Philippines. I'm providing educational help for 800 kids. Can you help me?",neutral
@AmericanAir already did &amp; an automated voice told us to wait 2 hours. They have yet to call back.,negative
@AmericanAir you changed my AAdvantage travel plans &amp; I called 800-433-7300 to get help but it sea ur too busy &amp; hangs up on me. What gives?,negative
"@AmericanAir yes, for tomorrow at 9 am. But I have to work though 😒 I'm really mad about the situation",negative
"@AmericanAir whenever I cheat on you it goes horribly wrong! I promise, I won't stray anymore. I'm talking about you @Delta!",negative
"@AmericanAir @praywinn between understaffing, what looks like a labor slowdown, weather, incompetence, and disregard for the customer...",negative
"@AmericanAir I need help with a reservation purchased on @AmericanAir but operated on @USAirways, can't get through on the 800#",negative
@AmericanAir  flight from DFW to LIT tomorrow has been Cancelled Flightled.  What do I do next?  Pls advise.  #HELP,negative
@AmericanAir how can you not be taking calls? I need to change my flight!,negative
@AmericanAir my flight I have reserved for tomorrow has been Cancelled Flightled. Can I Cancelled Flight my reservation and get a full refund?,negative
@AmericanAir thanks to FA Shawn for spectacular service on FLT 79 LHRDFW and to FA Susan for such a warm engaging onboard welcome,positive
@AmericanAir I can't choose a seat online because I booked on @priceline ??? #SMH,negative
@AmericanAir it wasn't really about the delay. It was more about being told the engine needed to be troubleshot.  Makes a person paranoid.,negative
"@AmericanAir ""overweight"" flight = you sold more tickets than you had seats. We all know that. Let's call it what it is.",negative
"@AmericanAir @jaynegelman How,about more@Blacklist too!!",neutral
@AmericanAir at JFK flight to Boston delayed 20 min waiting for catering they are boarding flight to LAX waiting for over and hour WTF?,negative
"@AmericanAir Yes, it says my reservation cannot be retrieved at this time. Also I never got an email from AA saying my flight was Cancelled Flightled.",negative
@AmericanAir Can you help with my Cancelled Flightled flight -- I'd like to book another flight...I've been on hold for 95 minutes and counting....,negative
@AmericanAir I ended up on a flight to LA my fourth time on standby. Thanks! http://t.co/NA5G5EAKPA,positive
@AmericanAir been waiting on hold for more than an hour,negative
@AmericanAir thanks. Now my carry on that you guys insisted be checked at the gate is missing. Won't be here till Late Flight tomorrow morning.,negative
"@AmericanAir that's ok, thanks for letting me know. Appreciate all the responses.",positive
@AmericanAir spoke too soon. 30 min Late Flightr still waiting for bags to load. Some sympathy would be appreciated at the very least.,negative
@AmericanAir @HeyMyNameIsSEAN Sean if you look at the AA schedule it sometimes gives you a clue if new'airplanes are used. They are gr8,neutral
@AmericanAir thanks for the show! 👍,positive
"@AmericanAir well done, you have taken the fun out of air travel @PHLAirport",negative
@AmericanAir no worries even though I was talking about seat assignment :),positive
"@AmericanAir @kconti44 This looks like JFK - had a great pic of the OneWorld jets lined up on the opposite side #Air Berlin, LAN and AA.",neutral
"@AmericanAir Been trying to call all day, get hung up on every time. Your guys are horrible!",negative
"@AmericanAir @jameswester see, James, we only have 7 dedicated inbound phone lines because telephones eat into our billions in profits",negative
@AmericanAir @superyan I did hear a last call for boarding of this flight when I was at JFK a few hours ago. good luck w/flights!,neutral
"@AmericanAir , sitting on plane for 2.5hrs at gate due to computer sys issue, at what point do you Cancelled Flight a flight?, ridiculous @PHLAirport",negative
@AmericanAir @cjdjpdx not a valid response in 2015 for a multinational corp whose profits are measured in billions. Stop understaffing!,negative
"@AmericanAir Yo, could that be a catering truck before mine eyes?  Unmoving? http://t.co/ASW6QwUf1Z",neutral
@AmericanAir @kaps12 this is an international airline that experienced record profits last quarter. But they can't staff a call center,negative
@AmericanAir Great seats on this aircraft!,positive
Is rudeness and poor customers service a job requirement at @AmericanAir ? Been waiting 28hrs and still haven't even seen one plane😡,negative
@AmericanAir Both pictures taken at the same time but which is right? #totallyconfused http://t.co/dvSLtQZKmQ,neutral
@AmericanAir AA919 flight attendant freaks out and leaves aircraft as passengers react to a 24h delay and cattle treatment. Surreal!,negative
@AmericanAir 901 #Miami to #Rio to participate at @RCM_Oficial representing @CisnerosMedia #yourstoryhere,neutral
@AmericanAir a worker just checked for ice on our plane using his cell phone flashlight! Really?! Come on!,negative
@AmericanAir @cyncyn661 Are you now flying 763s to Madrid from JFK or is this DFW/ORD? Huge !!,neutral
@AmericanAir The wine served in USAirways flights are watered down somehow right out of the bottles.,negative
@AmericanAir who's your pick for best picture? I don't want to board your airline until I know,neutral
@AmericanAir we have 3 more passengers with me   There are two more reservation numbers,negative
